timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710432836319,337,Get Hero by ID,200,OK,Thread Group 1-75,text,true,,192,129,1000,1000,http://localhost:3001/character/id,337,0,0
1710432836313,343,Get Hero by ID,200,OK,Thread Group 1-64,text,true,,192,129,1000,1000,http://localhost:3001/character/id,343,0,0
1710432836322,335,Get Hero by ID,200,OK,Thread Group 1-246,text,true,,192,129,1000,1000,http://localhost:3001/character/id,335,0,0
1710432836324,335,Get Hero by ID,200,OK,Thread Group 1-402,text,true,,192,129,1000,1000,http://localhost:3001/character/id,335,0,0
1710432836325,334,Get Hero by ID,200,OK,Thread Group 1-109,text,true,,192,129,1000,1000,http://localhost:3001/character/id,334,0,0
1710432836327,333,Get all Heroes,200,OK,Thread Group 1-554,text,true,,441,127,1000,1000,http://localhost:3001/characters,333,0,0
1710432836329,335,Get all Heroes,200,OK,Thread Group 1-609,text,true,,441,127,1000,1000,http://localhost:3001/characters,335,0,0
1710432836330,335,Get Hero by ID,200,OK,Thread Group 1-114,text,true,,192,129,1000,1000,http://localhost:3001/character/id,335,0,0
1710432836328,337,Get all Heroes,200,OK,Thread Group 1-545,text,true,,441,127,1000,1000,http://localhost:3001/characters,337,0,0
1710432836333,335,Get Hero by ID,200,OK,Thread Group 1-236,text,true,,192,129,1000,1000,http://localhost:3001/character/id,335,0,0
1710432836336,332,Get Hero by ID,200,OK,Thread Group 1-266,text,true,,192,129,1000,1000,http://localhost:3001/character/id,332,0,0
1710432836338,330,Get Hero by ID,200,OK,Thread Group 1-226,text,true,,192,129,1000,1000,http://localhost:3001/character/id,330,0,0
1710432836339,329,Get Hero by ID,200,OK,Thread Group 1-178,text,true,,192,129,1000,1000,http://localhost:3001/character/id,329,0,0
1710432836334,334,Get Hero by ID,200,OK,Thread Group 1-366,text,true,,192,129,1000,1000,http://localhost:3001/character/id,334,0,0
1710432836341,333,Get Hero by ID,200,OK,Thread Group 1-401,text,true,,192,129,1000,1000,http://localhost:3001/character/id,333,0,0
1710432836342,335,Get Hero by ID,200,OK,Thread Group 1-118,text,true,,192,129,1000,1000,http://localhost:3001/character/id,335,0,0
1710432836343,339,Get Hero by ID,200,OK,Thread Group 1-326,text,true,,192,129,1000,1000,http://localhost:3001/character/id,339,0,0
1710432836344,344,Get Hero by ID,200,OK,Thread Group 1-117,text,true,,192,129,1000,1000,http://localhost:3001/character/id,344,0,0
1710432836345,344,Get Hero by ID,200,OK,Thread Group 1-67,text,true,,192,129,1000,1000,http://localhost:3001/character/id,344,0,0
1710432836346,344,Get Hero by ID,200,OK,Thread Group 1-437,text,true,,192,129,1000,1000,http://localhost:3001/character/id,344,0,0
1710432836347,344,Get Hero by ID,200,OK,Thread Group 1-227,text,true,,192,129,1000,1000,http://localhost:3001/character/id,344,0,0
1710432836348,343,Get Hero by ID,200,OK,Thread Group 1-270,text,true,,192,129,1000,1000,http://localhost:3001/character/id,343,0,0
1710432836349,343,Get Hero by ID,200,OK,Thread Group 1-162,text,true,,192,129,1000,1000,http://localhost:3001/character/id,343,0,0
1710432836350,346,Get Hero by ID,200,OK,Thread Group 1-71,text,true,,192,129,1000,1000,http://localhost:3001/character/id,346,0,0
1710432836350,347,Get Hero by ID,200,OK,Thread Group 1-370,text,true,,192,129,1000,1000,http://localhost:3001/character/id,347,0,0
1710432836353,345,Get Hero by ID,200,OK,Thread Group 1-278,text,true,,192,129,1000,1000,http://localhost:3001/character/id,345,0,0
1710432836354,345,Get Hero by ID,200,OK,Thread Group 1-234,text,true,,192,129,1000,1000,http://localhost:3001/character/id,345,0,0
1710432836357,345,Get Hero by ID,200,OK,Thread Group 1-249,text,true,,192,129,1000,1000,http://localhost:3001/character/id,345,0,0
1710432836361,342,Get Hero by ID,200,OK,Thread Group 1-79,text,true,,192,129,1000,1000,http://localhost:3001/character/id,342,0,0
1710432836365,338,Get Hero by ID,200,OK,Thread Group 1-350,text,true,,192,129,1000,1000,http://localhost:3001/character/id,338,0,0
1710432836358,345,Get Hero by ID,200,OK,Thread Group 1-253,text,true,,192,129,1000,1000,http://localhost:3001/character/id,345,0,0
1710432836365,340,Get Hero by ID,200,OK,Thread Group 1-358,text,true,,192,129,1000,1000,http://localhost:3001/character/id,340,0,0
1710432836367,339,Get Hero by ID,200,OK,Thread Group 1-422,text,true,,192,129,1000,1000,http://localhost:3001/character/id,339,0,0
1710432836368,345,Get Hero by ID,200,OK,Thread Group 1-20,text,true,,192,129,1000,1000,http://localhost:3001/character/id,345,0,0
1710432836369,353,Get Hero by ID,200,OK,Thread Group 1-137,text,true,,192,129,1000,1000,http://localhost:3001/character/id,353,0,0
1710432836387,335,Get Hero by ID,200,OK,Thread Group 1-264,text,true,,192,129,1000,1000,http://localhost:3001/character/id,335,0,0
1710432836372,350,Get Hero by ID,200,OK,Thread Group 1-124,text,true,,192,129,1000,1000,http://localhost:3001/character/id,350,0,0
1710432836376,347,Get Hero by ID,200,OK,Thread Group 1-207,text,true,,192,129,1000,1000,http://localhost:3001/character/id,347,0,0
1710432836371,352,Get Hero by ID,200,OK,Thread Group 1-334,text,true,,192,129,1000,1000,http://localhost:3001/character/id,352,0,0
1710432836387,336,Get Hero by ID,200,OK,Thread Group 1-284,text,true,,192,129,1000,1000,http://localhost:3001/character/id,336,0,0
1710432836373,350,Get Hero by ID,200,OK,Thread Group 1-76,text,true,,192,129,1000,1000,http://localhost:3001/character/id,350,0,0
1710432836385,338,Get Hero by ID,200,OK,Thread Group 1-73,text,true,,192,129,1000,1000,http://localhost:3001/character/id,338,0,0
1710432836379,344,Get all Heroes,200,OK,Thread Group 1-208,text,true,,441,127,1000,1000,http://localhost:3001/characters,344,0,0
1710432836384,339,Get Hero by ID,200,OK,Thread Group 1-240,text,true,,192,129,1000,1000,http://localhost:3001/character/id,339,0,0
1710432836381,342,Get Hero by ID,200,OK,Thread Group 1-248,text,true,,192,129,1000,1000,http://localhost:3001/character/id,342,0,0
1710432836388,336,Get Hero by ID,200,OK,Thread Group 1-196,text,true,,192,129,1000,1000,http://localhost:3001/character/id,336,0,0
1710432836389,335,Get Hero by ID,200,OK,Thread Group 1-116,text,true,,192,129,1000,1000,http://localhost:3001/character/id,335,0,0
1710432836390,336,Get Hero by ID,200,OK,Thread Group 1-57,text,true,,192,129,1000,1000,http://localhost:3001/character/id,336,0,0
1710432836392,338,Get Hero by ID,200,OK,Thread Group 1-192,text,true,,192,129,1000,1000,http://localhost:3001/character/id,338,0,0
1710432836393,337,Get Hero by ID,200,OK,Thread Group 1-354,text,true,,192,129,1000,1000,http://localhost:3001/character/id,337,0,0
1710432836394,341,Get Hero by ID,200,OK,Thread Group 1-1,text,true,,192,129,1000,1000,http://localhost:3001/character/id,341,0,0
1710432836394,341,Get Hero by ID,200,OK,Thread Group 1-337,text,true,,192,129,1000,1000,http://localhost:3001/character/id,341,0,0
